Frame:0 Splash000.bmp VSync:0 CompressedSize:26572byte DecompressedSize:98304
Frame:1 Splash001.bmp VSync:4 CompressedSize:0byte DecompressedSize:4062
Frame:2 Splash002.bmp VSync:8 CompressedSize:0byte DecompressedSize:4144
Frame:3 Splash003.bmp VSync:12 CompressedSize:0byte DecompressedSize:4184
Frame:4 Splash004.bmp VSync:16 CompressedSize:0byte DecompressedSize:4204
Frame:5 Splash005.bmp VSync:20 CompressedSize:0byte DecompressedSize:4208
Frame:6 Splash006.bmp VSync:24 CompressedSize:0byte DecompressedSize:4218
Frame:7 Splash007.bmp VSync:28 CompressedSize:0byte DecompressedSize:4226
Frame:8 Splash008.bmp VSync:32 CompressedSize:0byte DecompressedSize:4236
Frame:9 Splash009.bmp VSync:36 CompressedSize:0byte DecompressedSize:10484
Frame:10 Splash010.bmp VSync:40 CompressedSize:0byte DecompressedSize:11172
Frame:11 Splash011.bmp VSync:44 CompressedSize:0byte DecompressedSize:11844
Frame:12 Splash012.bmp VSync:48 CompressedSize:0byte DecompressedSize:12244
Frame:13 Splash013.bmp VSync:52 CompressedSize:0byte DecompressedSize:14760
Frame:14 Splash014.bmp VSync:56 CompressedSize:0byte DecompressedSize:14760
Frame:15 Splash015.bmp VSync:60 CompressedSize:0byte DecompressedSize:14760
Frame:16 Splash016.bmp VSync:64 CompressedSize:0byte DecompressedSize:14760
Frame:17 Splash017.bmp VSync:68 CompressedSize:0byte DecompressedSize:14760
Frame:18 Splash018.bmp VSync:72 CompressedSize:0byte DecompressedSize:14760
Frame:19 Splash019.bmp VSync:76 CompressedSize:0byte DecompressedSize:14760
Frame:20 Splash020.bmp VSync:80 CompressedSize:0byte DecompressedSize:14760
Frame:21 Splash021.bmp VSync:84 CompressedSize:0byte DecompressedSize:14760
Frame:22 Splash022.bmp VSync:88 CompressedSize:0byte DecompressedSize:14760
Frame:23 Splash023.bmp VSync:92 CompressedSize:0byte DecompressedSize:14760
Frame:24 Splash024.bmp VSync:96 CompressedSize:0byte DecompressedSize:14760
Frame:25 Splash025.bmp VSync:100 CompressedSize:0byte DecompressedSize:14760
Frame:26 Splash026.bmp VSync:104 CompressedSize:0byte DecompressedSize:14760
Frame:27 Splash027.bmp VSync:108 CompressedSize:0byte DecompressedSize:14760
Frame:28 Splash028.bmp VSync:112 CompressedSize:0byte DecompressedSize:14760
Frame:29 Splash029.bmp VSync:116 CompressedSize:0byte DecompressedSize:14760
Frame:30 Splash030.bmp VSync:120 CompressedSize:0byte DecompressedSize:14760
Frame:31 Splash031.bmp VSync:124 CompressedSize:0byte DecompressedSize:14760
Frame:32 Splash032.bmp VSync:128 CompressedSize:0byte DecompressedSize:14760
Frame:33 Splash033.bmp VSync:132 CompressedSize:0byte DecompressedSize:14760
Frame:34 Splash034.bmp VSync:136 CompressedSize:0byte DecompressedSize:14760
Frame:35 Splash035.bmp VSync:140 CompressedSize:0byte DecompressedSize:14760
Frame:36 Splash036.bmp VSync:144 CompressedSize:0byte DecompressedSize:14760
Frame:37 Splash037.bmp VSync:148 CompressedSize:0byte DecompressedSize:14760
Frame:38 Splash038.bmp VSync:152 CompressedSize:0byte DecompressedSize:14760
Frame:39 Splash039.bmp VSync:156 CompressedSize:0byte DecompressedSize:14760
Frame:40 Splash040.bmp VSync:160 CompressedSize:0byte DecompressedSize:14760
Frame:41 Splash041.bmp VSync:164 CompressedSize:0byte DecompressedSize:14760
Frame:42 Splash042.bmp VSync:168 CompressedSize:0byte DecompressedSize:14760
Frame:43 Splash043.bmp VSync:172 CompressedSize:0byte DecompressedSize:14760
Frame:44 Splash044.bmp VSync:176 CompressedSize:0byte DecompressedSize:14760
Frame:45 Splash045.bmp VSync:180 CompressedSize:0byte DecompressedSize:14760
Frame:46 Splash046.bmp VSync:184 CompressedSize:0byte DecompressedSize:14760
Frame:47 Splash047.bmp VSync:188 CompressedSize:0byte DecompressedSize:14760
Frame:48 Splash048.bmp VSync:192 CompressedSize:0byte DecompressedSize:14760
Frame:49 Splash049.bmp VSync:196 CompressedSize:0byte DecompressedSize:14760
Frame:50 Splash050.bmp VSync:200 CompressedSize:0byte DecompressedSize:14760
Frame:51 Splash051.bmp VSync:204 CompressedSize:0byte DecompressedSize:14760
Frame:52 Splash052.bmp VSync:208 CompressedSize:0byte DecompressedSize:14760
Frame:53 Splash053.bmp VSync:212 CompressedSize:0byte DecompressedSize:14760
Frame:54 Splash054.bmp VSync:216 CompressedSize:0byte DecompressedSize:14760
Frame:55 Splash055.bmp VSync:220 CompressedSize:0byte DecompressedSize:14760
Frame:56 Splash056.bmp VSync:224 CompressedSize:0byte DecompressedSize:14760
Frame:57 Splash057.bmp VSync:228 CompressedSize:0byte DecompressedSize:14760
Frame:58 Splash058.bmp VSync:232 CompressedSize:0byte DecompressedSize:14760
Frame:59 Splash059.bmp VSync:236 CompressedSize:0byte DecompressedSize:14760
Frame:60 Splash060.bmp VSync:240 CompressedSize:0byte DecompressedSize:14760
Frame:61 Splash061.bmp VSync:244 CompressedSize:0byte DecompressedSize:14760
Frame:62 Splash062.bmp VSync:248 CompressedSize:0byte DecompressedSize:14760
Frame:63 Splash063.bmp VSync:252 CompressedSize:0byte DecompressedSize:16128
Frame:64 Splash064.bmp VSync:256 CompressedSize:0byte DecompressedSize:16128
Frame:65 Splash065.bmp VSync:260 CompressedSize:0byte DecompressedSize:16128
Frame:66 Splash066.bmp VSync:264 CompressedSize:0byte DecompressedSize:16128
Frame:67 Splash067.bmp VSync:268 CompressedSize:0byte DecompressedSize:16118
Frame:68 Splash068.bmp VSync:272 CompressedSize:0byte DecompressedSize:15870
Frame:69 Splash069.bmp VSync:276 CompressedSize:0byte DecompressedSize:15512
Frame:70 Splash070.bmp VSync:280 CompressedSize:0byte DecompressedSize:15298
Frame:71 Splash071.bmp VSync:284 CompressedSize:0byte DecompressedSize:13754
Frame:72 Splash072.bmp VSync:288 CompressedSize:0byte DecompressedSize:10308
Frame:73 Splash073.bmp VSync:292 CompressedSize:0byte DecompressedSize:4934
Frame:74 Splash074.bmp VSync:296 CompressedSize:0byte DecompressedSize:2
Frame:75 Splash075.bmp VSync:300 CompressedSize:0byte DecompressedSize:14456
Frame:76 Splash076.bmp VSync:304 CompressedSize:0byte DecompressedSize:16248
Frame:77 Splash077.bmp VSync:308 CompressedSize:0byte DecompressedSize:16398
Frame:78 Splash078.bmp VSync:312 CompressedSize:0byte DecompressedSize:16398
Frame:79 Splash079.bmp VSync:316 CompressedSize:0byte DecompressedSize:16398
Frame:80 Splash080.bmp VSync:320 CompressedSize:0byte DecompressedSize:16398
Frame:81 Splash081.bmp VSync:324 CompressedSize:0byte DecompressedSize:16398
Frame:82 Splash082.bmp VSync:328 CompressedSize:0byte DecompressedSize:16398
Frame:83 Splash083.bmp VSync:332 CompressedSize:0byte DecompressedSize:16398
Frame:84 Splash084.bmp VSync:336 CompressedSize:0byte DecompressedSize:16398
Frame:85 Splash085.bmp VSync:340 CompressedSize:0byte DecompressedSize:16398
Frame:86 Splash086.bmp VSync:344 CompressedSize:0byte DecompressedSize:16398
Frame:87 Splash087.bmp VSync:348 CompressedSize:0byte DecompressedSize:16398
Frame:88 Splash088.bmp VSync:352 CompressedSize:0byte DecompressedSize:16398
Frame:89 Splash089.bmp VSync:356 CompressedSize:0byte DecompressedSize:16398
Frame:90 Splash090.bmp VSync:360 CompressedSize:0byte DecompressedSize:16398
